Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-July-2019,325.75,333.10,323.90,332.05,328.848044063862953603,863474,11064,283951736.00,211071,24.44,9.20,6.30
30-July-2019,343.75,346.70,325.85,327.50,335.125834699630564111,980143,11095,328471241.00,232659,23.74,20.85,-16.25
29-July-2019,342.60,346.60,336.95,343.65,341.918175534552448498,665510,6389,227549965.00,85196,12.80,9.65,1.05
26-July-2019,341.45,346.10,340.85,342.50,343.461405493573074187,728342,7031,250157367.00,152640,20.96,5.25,1.05
25-July-2019,341.00,343.20,337.55,341.40,340.052825296341123344,684937,5424,232914762.00,84619,12.35,5.65,0.40
24-July-2019,342.20,344.75,336.30,339.65,340.828520974644571103,766187,7656,261138382.00,106698,13.93,8.45,-2.55
23-July-2019,352.80,353.10,341.05,342.05,346.180209498408328314,929840,10996,321892206.00,151369,16.28,12.05,-10.75
22-July-2019,356.20,359.50,348.80,350.80,352.970596009865987635,1051694,10038,371217058.00,268818,25.56,10.70,-5.40
19-July-2019,364.65,365.90,355.15,356.00,358.700218387680310429,533455,6597,191350425.00,126170,23.65,10.75,-8.65
18-July-2019,372.20,373.70,362.60,363.65,367.985114684589187848,842441,7242,310005748.00,247377,29.36,11.10,-8.55
17-July-2019,364.55,373.50,363.20,372.15,368.944797790992751503,652963,7557,240907302.00,165495,25.35,10.30,7.60
16-July-2019,358.80,365.85,357.55,364.25,363.776590169685121055,467513,5638,170070285.00,141641,30.30,8.30,5.45
15-July-2019,364.10,364.65,357.60,359.95,359.728351842732796036,1135189,7669,408359668.00,703496,61.97,7.05,-4.15
12-July-2019,363.35,366.40,361.50,363.55,363.886753860519478869,472281,5623,171856800.00,116299,24.62,4.90,0.20
11-July-2019,358.00,364.00,357.05,363.10,360.274684793601239028,738643,5886,266114374.00,183274,24.81,6.95,5.10
10-July-2019,360.30,361.70,351.35,354.20,353.745581713950581175,1309501,9846,463230193.00,666834,50.92,10.35,-6.10
9-July-2019,355.00,360.00,352.60,359.15,357.160094996614912707,840451,8507,300175559.00,124693,14.84,7.40,4.15
8-July-2019,368.90,368.90,353.55,355.25,358.670516722047976417,901026,12106,323171461.00,198178,21.99,15.35,-13.65
5-July-2019,369.25,373.40,366.00,370.60,369.933098731615597559,1784869,15203,660282120.00,442430,24.79,7.40,1.35
4-July-2019,367.00,370.70,366.30,367.30,368.759745321633295181,849228,9234,313161101.00,185539,21.85,4.40,0.30
3-July-2019,366.00,366.55,363.15,366.15,365.229891079041429564,484847,8363,177080617.00,117230,24.18,3.40,0.15
2-July-2019,362.50,365.00,360.35,364.50,362.764248411819229986,530796,7068,192553812.00,144413,27.21,4.65,2.00
1-July-2019,362.20,362.95,358.55,361.50,360.692963819121581257,385010,4705,138870398.00,67182,17.45,4.40,-0.70
28-June-2019,362.00,364.85,358.90,360.90,362.569187295754868887,757668,6414,274707071.00,132946,17.55,5.95,-1.10
27-June-2019,358.00,363.00,357.40,362.05,360.570755053932423744,825941,7492,297810170.00,216163,26.17,5.60,4.05
26-June-2019,355.55,359.00,354.65,358.00,356.961460478030466842,638202,6218,227813518.00,173516,27.19,4.35,2.45
25-June-2019,353.25,356.90,351.25,356.50,354.167431262496574543,591162,6451,209370327.00,166735,28.20,5.65,3.25
24-June-2019,350.00,354.55,349.75,353.25,352.303263509374873384,839158,6670,295638102.00,225959,26.93,4.80,3.25
21-June-2019,345.00,350.45,343.25,349.45,347.959918655194353433,840865,7777,292587317.00,202622,24.10,7.20,4.45
20-June-2019,342.00,346.20,335.80,345.05,341.148704639885676609,688573,9057,234905787.00,119158,17.30,10.40,3.05
19-June-2019,343.60,345.10,335.70,338.85,340.229283181312962015,566810,5912,192845360.00,81221,14.33,9.40,-4.75
18-June-2019,335.05,343.90,333.75,340.25,339.618544739995531755,1181672,8158,401317725.00,207854,17.59,10.15,5.20
17-June-2019,343.80,343.90,337.05,337.75,340.025906100034631177,505325,4758,171823591.00,140629,27.83,6.85,-6.05
14-June-2019,346.20,346.35,342.70,343.85,344.526315505714901876,556440,3875,191708223.00,128839,23.15,3.65,-2.35
13-June-2019,342.20,347.00,339.55,346.30,341.810735533735636355,1997665,7231,682823343.00,1103572,55.24,7.45,4.10
12-June-2019,347.35,347.35,342.50,344.20,344.176852884358656217,636710,4643,219140844.00,146851,23.06,4.85,-3.15
11-June-2019,344.00,348.20,342.85,347.35,345.737576872615025946,799537,6235,276429985.00,201837,25.24,5.35,3.35
10-June-2019,345.40,347.50,339.90,343.40,342.821692008537517779,1179734,10077,404438406.00,286948,24.32,7.60,-2.00
7-June-2019,337.90,342.35,335.85,341.65,339.422093304286095641,1187491,8956,403060681.00,169824,14.30,6.50,3.75
6-June-2019,349.80,349.80,336.10,337.05,343.326470873607294204,1463518,11680,502464470.00,292103,19.96,13.70,-12.75
4-June-2019,354.30,357.15,351.35,352.35,354.596694725699730319,2138824,9283,758419921.00,1171278,54.76,5.80,-1.95
3-June-2019,352.05,355.55,349.80,354.90,352.681220059072738776,1028901,9413,362874060.00,229436,22.30,5.75,2.85
31-May-2019,354.10,357.80,345.00,352.55,352.545553231506365840,1309018,16556,461488475.00,273997,20.93,12.80,-1.55
30-May-2019,350.00,354.90,347.60,353.65,351.605357695167143414,1041082,8188,366050009.00,322536,30.98,7.30,3.65
29-May-2019,358.45,359.00,347.20,348.55,350.819153420206982343,1072362,10961,376205129.00,310081,28.92,11.80,-9.90
28-May-2019,361.50,361.50,356.70,360.40,358.785321473191880145,1311058,10340,470388366.00,316287,24.12,4.80,-1.10
27-May-2019,355.30,362.20,354.00,361.45,359.697084082495446741,1801457,13239,647978830.00,602971,33.47,8.20,6.15
24-May-2019,345.20,356.00,343.50,354.60,350.275605781918509336,2400864,17547,840964092.00,597460,24.89,12.50,9.40
23-May-2019,350.00,364.00,339.20,342.30,354.308632540618945044,4157235,34462,1472944248.00,865051,20.81,24.80,-7.70
22-May-2019,339.50,342.80,333.55,340.85,337.882878253403007371,1969361,10018,665413363.00,595890,30.26,9.25,1.35
21-May-2019,346.05,347.10,336.15,337.55,339.232503540706344530,5921841,18144,2008880948.00,2998572,50.64,10.95,-8.50
20-May-2019,334.50,346.10,330.75,344.60,339.982514077897700610,3409600,28146,1159204380.00,980951,28.77,15.35,10.10
17-May-2019,315.05,321.60,313.30,318.95,316.834293940316984044,922507,6979,292281854.00,194928,21.13,8.30,3.90
16-May-2019,312.50,316.85,309.50,315.20,312.465509162533117091,907009,6005,283409029.00,171423,18.90,7.35,2.70
15-May-2019,316.00,317.75,310.20,311.60,313.662843149813303516,1670626,9517,524013301.00,420884,25.19,7.55,-4.40
14-May-2019,307.90,316.05,305.05,313.90,310.243172904219053553,1364050,9602,423187200.00,335463,24.59,11.00,6.00
13-May-2019,310.40,314.40,305.10,306.75,309.743370779195528776,1903014,13247,589445971.00,404665,21.26,9.30,-3.65
